period,optimizations,VCC1,VCC2,slack,leakagePower,dynamicPower,totalPower,type,instances,area,area %
100000,syn1,1.2,1.2,0,882.76199999999994,1566058.8119999999,0,mMIPS_system,1,11899,100,timing_model,2,97531.615000000005,70.700000000000003,sequential,2639,18888.317999999999,13.699999999999999,inverter,508,410.05799999999999,0.29999999999999999,buffer,223,384.40800000000002,0.29999999999999999,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,8440,20158.848000000002,14.6,physical_cells,0,0,0
16666.666667000001,syn1,1.2,1.2,0,887.57799999999997,9413753.2239999995,9414640.8019999992,mMIPS_system,1,11726,100,timing_model,2,97531.615000000005,70.400000000000006,sequential,2639,18894.132000000001,13.6,inverter,420,332.08199999999999,0.20000000000000001,buffer,45,79.001999999999995,0.10000000000000001,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,8533,21173.562000000002,15.300000000000001,physical_cells,0,0,0
9090.9090909999995,syn1,1.2,1.2,0,921.30799999999999,16996976.589000002,16997897.897,mMIPS_system,1,12305,100,timing_model,2,97531.615000000005,69.900000000000006,sequential,2639,18889.344000000001,13.5,inverter,582,484.95600000000002,0.29999999999999999,buffer,72,135.09,0.10000000000000001,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,8923,21934.853999999999,15.699999999999999,physical_cells,0,0,0
6250,syn1,1.2,1.2,0,961.87199999999996,25179544.135000002,25180506.006000001,mMIPS_system,1,12599,100,timing_model,2,97531.615000000005,69.5,sequential,2639,18923.544000000002,13.5,inverter,589,598.15800000000002,0.40000000000000002,buffer,60,127.224,0.10000000000000001,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,9222,22589.441999999999,16.100000000000001,physical_cells,0,0,0
4000.0,syn1,1.2,1.2,-0.000000,1450.626,39849284.831,39850735.457,mMIPS_system,1,15588,100.0,timing_model,2,97531.615,64.9,sequential,2639,18877.032,12.6,inverter,1406,2068.416,1.4,buffer,322,835.506,0.6,clock_gating_integrated_cell,87,565.326,0.4,logic,11132,30414.402,20.2,physical_cells,0,0.000,0.0
4761.9047620000001,syn1,1.2,1.2,0,1120.6700000000001,33036601.232999999,33037721.903000001,mMIPS_system,1,13587,100,timing_model,2,97531.615000000005,67.799999999999997,sequential,2639,18843.173999999999,13.1,inverter,875,1071.144,0.69999999999999996,buffer,141,361.15199999999999,0.29999999999999999,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,9843,25443.774000000001,17.699999999999999,physical_cells,0,0,0
3846.1538460000002,syn1,1.2,1.2,-0,1468.9670000000001,40947485.024999999,40948953.993000001,mMIPS_system,1,15672,100,timing_model,2,97531.615000000005,64.599999999999994,sequential,2639,18904.049999999999,12.5,inverter,1376,2077.6500000000001,1.3999999999999999,buffer,340,873.46799999999996,0.59999999999999998,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,11228,31013.928,20.5,physical_cells,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,syn1,1,1.2,0,897.35000000000002,1628636.1780000001,1629533.5279999999,mMIPS_system,1,11955,100,timing_model,2,97531.615000000005,69.900000000000006,sequential,2639,18860.616000000002,13.5,inverter,502,408.34800000000001,0.29999999999999999,buffer,179,309.50999999999999,0.20000000000000001,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,8546,21943.745999999999,15.699999999999999,physical_cells,0,0,0
16666.666667000001,syn1,1,1.2,0,904.09799999999996,9412055.2050000001,9412959.3029999994,mMIPS_system,1,11911,100,timing_model,2,97531.615000000005,69.5,sequential,2639,18844.542000000001,13.4,inverter,463,370.04399999999998,0.29999999999999999,buffer,43,75.924000000000007,0.10000000000000001,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,8677,22964.957999999999,16.399999999999999,physical_cells,0,0,0
9090.9090909999995,syn1,1,1.2,0,937.34799999999996,16934693.307999998,16935630.655000001,mMIPS_system,1,12307,100,timing_model,2,97531.615000000005,69.099999999999994,sequential,2639,18856.511999999999,13.4,inverter,538,450.41399999999999,0.29999999999999999,buffer,98,172.71000000000001,0.10000000000000001,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,8943,23606.207999999999,16.699999999999999,physical_cells,0,0,0
6250,syn1,1,1.2,0,974.29999999999995,25232825.905999999,25233800.206999999,mMIPS_system,1,12681,100,timing_model,2,97531.615000000005,68.700000000000003,sequential,2639,18880.110000000001,13.300000000000001,inverter,630,624.49199999999996,0.40000000000000002,buffer,28,68.058000000000007,0,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,9295,24251.220000000001,17.100000000000001,physical_cells,0,0,0
4761.9047620000001,syn1,1,1.2,0,1136.7529999999999,33008060.397,33009197.149999999,mMIPS_system,1,13605,100,timing_model,2,97531.615000000005,67,sequential,2639,18829.835999999999,12.9,inverter,826,1056.78,0.69999999999999996,buffer,150,441.52199999999999,0.29999999999999999,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,9901,27037.151999999998,18.600000000000001,physical_cells,0,0,0
3846.1538460000002,syn1,1,1.2,-0,1452.5509999999999,41049553.155000001,41051005.706,mMIPS_system,1,15572,100,timing_model,2,97531.615000000005,64.200000000000003,sequential,2639,18838.727999999999,12.4,inverter,1347,1977.1020000000001,1.3,buffer,319,807.46199999999999,0.5,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,11178,32194.853999999999,21.199999999999999,physical_cells,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,syn1,1.2,1,0,882.76199999999994,1565176.051,1566058.8119999999,mMIPS_system,1,11899,100,timing_model,2,97531.615000000005,70.700000000000003,sequential,2639,18888.317999999999,13.699999999999999,inverter,508,410.05799999999999,0.29999999999999999,buffer,223,384.40800000000002,0.29999999999999999,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,8440,20158.848000000002,14.6,physical_cells,0,0,0
16666.666667000001,syn1,1.2,1,0,887.57799999999997,9413753.2239999995,9414640.8019999992,mMIPS_system,1,11726,100,timing_model,2,97531.615000000005,70.400000000000006,sequential,2639,18894.132000000001,13.6,inverter,420,332.08199999999999,0.20000000000000001,buffer,45,79.001999999999995,0.10000000000000001,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,8533,21173.562000000002,15.300000000000001,physical_cells,0,0,0
9090.9090909999995,syn1,1.2,1,0,921.30799999999999,16996976.589000002,16997897.897,mMIPS_system,1,12305,100,timing_model,2,97531.615000000005,69.900000000000006,sequential,2639,18889.344000000001,13.5,inverter,582,484.95600000000002,0.29999999999999999,buffer,72,135.09,0.10000000000000001,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,8923,21934.853999999999,15.699999999999999,physical_cells,0,0,0
6250,syn1,1.2,1,0,961.87199999999996,25179544.135000002,25180506.006000001,mMIPS_system,1,12599,100,timing_model,2,97531.615000000005,69.5,sequential,2639,18923.544000000002,13.5,inverter,589,598.15800000000002,0.40000000000000002,buffer,60,127.224,0.10000000000000001,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,9222,22589.441999999999,16.100000000000001,physical_cells,0,0,0
4761.9047620000001,syn1,1.2,1,0,1120.6700000000001,33036601.232999999,33037721.903000001,mMIPS_system,1,13587,100,timing_model,2,97531.615000000005,67.799999999999997,sequential,2639,18843.173999999999,13.1,inverter,875,1071.144,0.69999999999999996,buffer,141,361.15199999999999,0.29999999999999999,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,9843,25443.774000000001,17.699999999999999,physical_cells,0,0,0
3846.1538460000002,syn1,1.2,1,-0,1468.9670000000001,40947485.024999999,40948953.993000001,mMIPS_system,1,15672,100,timing_model,2,97531.615000000005,64.599999999999994,sequential,2639,18904.049999999999,12.5,inverter,1376,2077.6500000000001,1.3999999999999999,buffer,340,873.46799999999996,0.59999999999999998,clock_gating_integrated_cell,87,565.32600000000002,0.40000000000000002,logic,11228,31013.928,20.5,physical_cells,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

